date,store_id,product_id,price,promotion_flag,inventory_level
2023-05-01,S001,P001,11.97,0,380
2023-05-02,S001,P001,11.97,0,379
2023-05-03,S001,P001,11.97,0,378
2023-05-04,S001,P001,11.97,0,377
2023-05-05,S001,P001,11.97,0,376
2023-05-06,S001,P001,11.97,0,375
2023-05-07,S001,P001,10.17,1,374
2023-05-08,S001,P001,10.17,1,373
2023-05-09,S001,P001,10.17,1,372
2023-05-10,S001,P001,10.17,1,371
2023-05-11,S001,P001,11.97,0,370
2023-05-12,S001,P001,11.97,0,369
2023-05-13,S001,P001,11.97,0,368
2023-05-14,S001,P001,11.97,0,367
2023-05-15,S001,P001,11.97,0,366
2023-05-16,S001,P001,11.97,0,365
2023-05-17,S001,P001,11.97,0,364
2023-05-18,S001,P001,11.97,0,363
2023-05-19,S001,P001,11.97,0,362
2023-05-20,S001,P001,11.97,0,361
2023-05-21,S001,P001,10.17,1,360
2023-05-22,S001,P001,10.17,1,359
2023-05-23,S001,P001,10.17,1,358
2023-05-24,S001,P001,10.17,1,357
2023-05-25,S001,P001,11.97,0,356
2023-05-26,S001,P001,11.97,0,355
2023-05-27,S001,P001,11.97,0,354
2023-05-28,S001,P001,11.97,0,353
2023-05-29,S001,P001,11.97,0,352
2023-05-30,S001,P001,11.97,0,351
2023-05-31,S001,P001,11.97,0,350
2023-06-01,S001,P001,11.97,0,349
2023-06-02,S001,P001,11.97,0,348
2023-06-03,S001,P001,11.97,0,347
2023-06-04,S001,P001,10.17,1,346
2023-06-05,S001,P001,10.17,1,345
2023-06-06,S001,P001,10.17,1,344
2023-06-07,S001,P001,10.17,1,343
2023-06-08,S001,P001,11.97,0,342
2023-06-09,S001,P001,11.97,0,341
2023-06-10,S001,P001,11.97,0,340
2023-06-11,S001,P001,11.97,0,339
2023-06-12,S001,P001,11.97,0,338
2023-06-13,S001,P001,11.97,0,337
2023-06-14,S001,P001,11.97,0,336
2023-06-15,S001,P001,11.97,0,335
2023-06-16,S001,P001,11.97,0,334
2023-06-17,S001,P001,11.97,0,333
2023-06-18,S001,P001,10.17,1,332
2023-06-19,S001,P001,10.17,1,331
2023-06-20,S001,P001,10.17,1,330
2023-06-21,S001,P001,10.17,1,329
2023-06-22,S001,P001,11.97,0,328
2023-06-23,S001,P001,11.97,0,327
2023-06-24,S001,P001,11.97,0,326
2023-06-25,S001,P001,11.97,0,325
2023-06-26,S001,P001,11.97,0,324
2023-06-27,S001,P001,11.97,0,323
2023-06-28,S001,P001,11.97,0,322
2023-06-29,S001,P001,11.97,0,321
2023-05-01,S001,P002,9.72,0,380
2023-05-02,S001,P002,9.72,0,379
2023-05-03,S001,P002,9.72,0,378
2023-05-04,S001,P002,9.72,0,377
2023-05-05,S001,P002,9.72,0,376
2023-05-06,S001,P002,9.72,0,375
2023-05-07,S001,P002,8.26,1,374
2023-05-08,S001,P002,8.26,1,373
2023-05-09,S001,P002,8.26,1,372
2023-05-10,S001,P002,8.26,1,371
2023-05-11,S001,P002,9.72,0,370
2023-05-12,S001,P002,9.72,0,369
2023-05-13,S001,P002,9.72,0,368
2023-05-14,S001,P002,9.72,0,367
2023-05-15,S001,P002,9.72,0,366
2023-05-16,S001,P002,9.72,0,365
2023-05-17,S001,P002,9.72,0,364
2023-05-18,S001,P002,9.72,0,363
2023-05-19,S001,P002,9.72,0,362
2023-05-20,S001,P002,9.72,0,361
2023-05-21,S001,P002,8.26,1,360
2023-05-22,S001,P002,8.26,1,359
2023-05-23,S001,P002,8.26,1,358
2023-05-24,S001,P002,8.26,1,357
2023-05-25,S001,P002,9.72,0,356
2023-05-26,S001,P002,9.72,0,355
2023-05-27,S001,P002,9.72,0,354
2023-05-28,S001,P002,9.72,0,353
2023-05-29,S001,P002,9.72,0,352
2023-05-30,S001,P002,9.72,0,351
2023-05-31,S001,P002,9.72,0,350
2023-06-01,S001,P002,9.72,0,349
2023-06-02,S001,P002,9.72,0,348
2023-06-03,S001,P002,9.72,0,347
2023-06-04,S001,P002,8.26,1,346
2023-06-05,S001,P002,8.26,1,345
2023-06-06,S001,P002,8.26,1,344
2023-06-07,S001,P002,8.26,1,343
2023-06-08,S001,P002,9.72,0,342
2023-06-09,S001,P002,9.72,0,341
